	github_urls	creation_date	pr_date	pr_from	is_fork	pr_from_date	is_merged	merged_date
24	endernewton/tf-faster-rcnn	2017-01-23T19:51:32Z	2017-04-03T09:24:17Z	bhack/tf-faster-rcnn	True	2017-04-03T08:52:45Z	True	2017-04-04T03:12:08Z
25	endernewton/tf-faster-rcnn	2017-01-23T19:51:32Z	2017-03-30T17:50:10Z	kukuruza/tf-faster-rcnn	True	2017-03-27T18:19:23Z	True	2017-03-31T00:06:31Z
26	endernewton/tf-faster-rcnn	2017-01-23T19:51:32Z	2017-03-09T02:48:35Z		False		True	2017-03-25T03:45:06Z
27	endernewton/tf-faster-rcnn	2017-01-23T19:51:32Z	2017-03-02T16:42:03Z	philokey/tf-faster-rcnn	True	2017-02-16T02:30:56Z	True	2017-03-02T16:50:45Z
28	endernewton/tf-faster-rcnn	2017-01-23T19:51:32Z	2017-02-16T06:08:12Z	philokey/tf-faster-rcnn	True	2017-02-16T02:30:56Z	True	2017-03-02T07:02:44Z
29	endernewton/tf-faster-rcnn	2017-01-23T19:51:32Z	2017-02-16T05:42:00Z	philokey/tf-faster-rcnn	True	2017-02-16T02:30:56Z	True	2017-02-16T05:50:56Z
30	endernewton/tf-faster-rcnn	2017-01-23T19:51:32Z	2017-02-10T23:43:51Z	cucapra/tf-faster-rcnn	True	2017-02-08T19:06:08Z	True	2017-02-13T23:21:37Z
31	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2018-03-02T08:22:50Z	benjamintanweihao/KittiSeg	True	2018-03-02T08:22:22Z	False	
32	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2018-01-23T03:52:07Z	vra/KittiSeg	True	2018-01-23T03:48:14Z	False	
33	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2018-01-21T22:47:27Z	rmkeezer/KittiSeg	True	2017-11-16T02:59:55Z	False	
34	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-09-24T10:24:27Z	hlnull/KittiSeg	True	2017-09-24T10:01:27Z	True	2017-10-16T16:33:25Z
35	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-08-23T08:23:49Z	tylercode362/KittiSeg	True	2017-08-23T07:53:11Z	False	
36	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-08-20T13:03:36Z		False		False	
37	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-07-27T21:03:11Z	villanuevab/KittiSeg	True	2017-06-05T17:52:55Z	False	
38	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-07-10T22:43:16Z	villanuevab/KittiSeg	True	2017-06-05T17:52:55Z	True	2017-08-08T12:19:22Z
39	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-06-07T22:21:57Z	villanuevab/KittiSeg	True	2017-06-05T17:52:55Z	True	2017-06-21T12:05:50Z
40	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-04-22T14:22:11Z	zilongzhong/KittiSeg	True	2017-04-22T02:40:04Z	True	2017-04-22T18:21:37Z
41	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-03-14T16:53:25Z	MarvinTeichmann/KittiSeg	False		True	2017-03-14T16:56:59Z
42	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-02-17T20:00:25Z	MarvinTeichmann/KittiSeg	False		True	2017-02-17T20:09:12Z
43	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-02-17T14:15:08Z	MarvinTeichmann/KittiSeg	False		True	2017-02-17T14:15:44Z
44	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-02-17T13:57:51Z	MarvinTeichmann/KittiSeg	False		True	2017-02-17T13:58:05Z
45	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-02-16T17:46:41Z	MarvinTeichmann/KittiSeg	False		True	2017-02-16T17:47:14Z
46	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-02-09T20:25:38Z	MarvinTeichmann/KittiSeg	False		True	2017-02-09T21:14:44Z
47	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-02-08T19:03:22Z	MarvinTeichmann/KittiSeg	False		True	2017-02-08T19:03:34Z
48	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-02-08T18:28:16Z	MarvinTeichmann/KittiSeg	False		True	2017-02-08T18:28:25Z
49	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-02-02T14:46:53Z	MarvinTeichmann/KittiSeg	False		True	2017-02-02T14:47:40Z
50	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	2017-01-23T19:46:10Z	MarvinTeichmann/KittiSeg	False		True	2017-01-23T19:46:26Z
51	anishathalye/neural-style	2015-11-21T23:40:00Z	2019-06-05T21:14:13Z	fatalchemist/neural-style	True	2019-06-05T21:13:30Z	True	2019-06-05T21:20:48Z
52	anishathalye/neural-style	2015-11-21T23:40:00Z	2019-05-29T15:59:48Z	khughitt/neural-style	True	2019-05-25T18:32:54Z	True	2019-05-29T16:14:18Z
53	anishathalye/neural-style	2015-11-21T23:40:00Z	2019-05-25T20:36:21Z	khughitt/neural-style	True	2019-05-25T18:32:54Z	False	
54	anishathalye/neural-style	2015-11-21T23:40:00Z	2019-05-25T19:02:30Z	khughitt/neural-style	True	2019-05-25T18:32:54Z	True	2019-05-28T01:19:12Z
55	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-12-23T09:13:57Z		False		False	
56	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-11-04T18:09:19Z	elcorto/neural-style	True	2018-06-16T16:08:46Z	True	2018-11-18T01:38:10Z
57	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-10-23T21:38:31Z	elcorto/neural-style	True	2018-06-16T16:08:46Z	True	2018-10-24T17:57:54Z
58	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-10-17T22:56:56Z	elcorto/neural-style	True	2018-06-16T16:08:46Z	False	
59	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-09-09T01:34:35Z	Freakwill/neural-style	True	2018-09-09T00:10:57Z	False	
60	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-06-17T15:33:41Z	EmergencyTemporalShift/neural-style	True	2018-06-17T08:38:41Z	True	2018-06-21T12:29:20Z
61	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-05-17T00:02:55Z	jwrubel/neural-style	True	2018-05-16T23:49:15Z	True	2018-05-18T15:50:45Z
62	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-04-15T19:48:46Z	Martinligabue/neural-style	True	2018-04-15T19:47:45Z	True	2018-04-15T20:17:42Z
63	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-02-26T08:32:36Z	frkhit/neural-style	True	2018-01-01T12:41:05Z	False	
64	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-02-07T19:43:14Z	ahbrosha/neural-style-1	True	2018-02-07T19:40:01Z	False	
65	anishathalye/neural-style	2015-11-21T23:40:00Z	2018-01-26T13:49:39Z	SetCodesToFire/neural-style	True	2018-01-26T13:48:26Z	False	
66	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-07-01T03:21:03Z		False		False	
67	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-05-29T18:06:25Z	neilsh/neural-style	True	2017-04-08T15:46:17Z	False	
68	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-05-23T20:10:18Z		False		False	
69	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-05-18T16:12:18Z		False		False	
70	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-04-10T04:19:53Z	neilsh/neural-style	True	2017-04-08T15:46:17Z	False	
71	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-04-08T16:06:22Z	neilsh/neural-style	True	2017-04-08T15:46:17Z	True	2017-04-08T21:50:36Z
72	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-03-04T19:03:24Z	avoroshilov/neural-style	True	2017-01-28T02:44:27Z	False	
73	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-02-27T19:44:18Z	KaraRyougi/neural-style	True	2017-02-27T17:51:18Z	False	
74	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-02-15T07:19:26Z	anishathalye/neural-style	False		False	
75	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-02-06T00:03:30Z	dragon-lab/neural-style	True	2017-02-06T00:02:23Z	False	
76	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-02-01T03:11:42Z	firstprayer/neural-style	True	2017-02-01T03:09:35Z	False	
77	anishathalye/neural-style	2015-11-21T23:40:00Z	2017-01-28T04:25:44Z	avoroshilov/neural-style	True	2017-01-28T02:44:27Z	False	
78	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-11-06T19:19:30Z	daj/neural-style	True	2016-10-13T02:34:55Z	True	2016-11-07T01:56:34Z
79	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-10-27T15:41:09Z	lijingpeng/neural-style	True	2016-10-27T03:14:39Z	False	
80	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-10-13T19:14:18Z	petronny/neural-style-tensorflow	True	2016-10-13T14:59:26Z	False	
81	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-10-13T03:07:23Z	daj/neural-style	True	2016-10-13T02:34:55Z	False	
82	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-10-13T02:51:17Z	daj/neural-style	True	2016-10-13T02:34:55Z	True	2016-10-13T03:01:00Z
83	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-10-10T20:42:55Z		False		False	
84	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-09-28T12:06:10Z		False		False	
85	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-08-01T10:46:33Z	aruppcb/neural-style	True	2016-08-01T09:35:36Z	False	
86	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-05-12T20:52:27Z	polo2ro/neural-style	True	2016-05-12T20:47:25Z	False	
87	anishathalye/neural-style	2015-11-21T23:40:00Z	2016-03-14T18:04:24Z	akx/neural-style	True	2016-03-14T18:02:02Z	True	2016-03-14T18:26:43Z
88	anishathalye/neural-style	2015-11-21T23:40:00Z	2015-12-04T20:12:26Z	ktsiegel/neural-style	True	2015-12-02T05:12:13Z	False	
89	anishathalye/neural-style	2015-11-21T23:40:00Z	2015-11-28T13:28:00Z		False		False	
90	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-07-26T17:16:12Z	kanishkjain1995/facenet	True		False	
91	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-07-02T11:47:58Z	cclauss/facenet	True	2017-11-24T09:56:27Z	False	
92	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-07-02T11:45:02Z	cclauss/facenet	True	2017-11-24T09:56:27Z	False	
93	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-05-25T02:03:02Z	timesler/facenet	True	2019-05-25T01:51:35Z	False	
94	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-05-20T19:44:47Z	Shmarkus/facenet	True	2019-05-20T19:40:04Z	False	
95	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-05-06T14:00:56Z	annakulaachyuth/facenet	True	2019-05-06T13:53:14Z	False	
96	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-05-06T07:59:35Z	armanrahman22/Facial-Recognition-and-Alignment	True	2018-07-24T17:56:50Z	False	
97	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-04-21T13:19:03Z	SeanSyue/facenet	True	2019-04-21T13:13:10Z	False	
98	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-04-11T16:11:37Z	DanDyDunder/facenet	True	2019-03-25T18:14:56Z	False	
99	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-02-20T15:44:47Z	damianosSemmle/facenet	True	2019-02-20T15:31:40Z	False	
100	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-02-03T16:17:00Z	alenic/facenet	True	2019-02-03T16:00:47Z	False	
101	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-02-01T03:39:40Z	davidsandberg/facenet	False		False	
102	davidsandberg/facenet	2016-02-12T22:14:40Z	2019-01-27T15:57:09Z	gavinwtaylor/facenet	True	2019-01-27T15:46:06Z	False	
103	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-12-01T09:54:32Z	ppwwyyxx/facenet	True	2018-12-01T09:50:55Z	False	
104	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-11-19T08:20:06Z	gitarya/facenet	True	2018-11-19T03:33:46Z	False	
105	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-11-05T07:54:14Z	VictorZhang2014/facenet	True	2018-11-02T02:38:14Z	False	
106	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-10-16T06:30:33Z	guizili0/facenet	True	2018-10-15T02:27:22Z	False	
107	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-09-25T14:10:25Z	BaeMinCheon/facenet	True	2018-09-25T12:42:29Z	False	
108	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-09-19T15:11:14Z	cfong32/facenet	True	2018-09-14T08:12:39Z	False	
109	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-09-19T14:59:20Z	cfong32/facenet	True	2018-09-14T08:12:39Z	False	
110	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-09-14T14:39:19Z	vladserkoff/facenet	True	2018-08-30T20:34:10Z	False	
111	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-09-10T09:18:35Z	tzolov/facenet	True	2018-09-10T09:02:19Z	False	
112	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-08-17T19:40:25Z	michaelperel/facenet-1	True	2018-08-17T18:34:32Z	False	
113	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-07-31T19:20:38Z	vonclites/facenet	True	2018-07-31T15:41:26Z	False	
114	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-07-27T09:16:42Z		False		False	
115	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-06-25T12:13:42Z	tan-z-tan/facenet	True	2018-06-25T11:46:18Z	False	
116	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-06-07T08:40:45Z	chakkritte/facenet	True	2018-06-07T08:38:33Z	False	
117	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-06-03T04:14:55Z	jasonmayes/facenet	True	2018-05-26T01:58:35Z	False	
118	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-05-30T06:59:51Z	iamsiddhantsahu/facenet	True	2018-05-30T06:45:44Z	False	
119	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-05-25T18:27:15Z		False		False	
120	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-05-15T06:45:07Z	RunningLeon/facenet	True	2018-05-02T08:12:29Z	False	
121	davidsandberg/facenet	2016-02-12T22:14:40Z	2018-05-02T16:10:56Z		False		False	
