	github_urls	forks	useful_forks	transitive_forks
592	kkjh0723/icub-tensorflow	0	0	0
593	mengrang/cpn-tensorflow	1	0	0
594	paulchongpeng/yolo2tensorflow	18	0	0
595	preritj/segmentation	33	1	0
596	madrylab/cifar10_challenge	57	13	0
597	tianzhongsong/tensorflow-quantization-test	6	1	0
598	princeton-vl/pose-ae-demo	31	0	0
599	bryanyzhu/deepof	7	0	0
600	taigw/brats17	98	11	2
601	worstprogrammercn/fcn-tensorflow-ade20k	1	0	0
602	mingfx/siamfc-tensorflow	0	0	0
603	truskovskiyk/logos.tensorflow	2	0	0
604	jimmyyhwu/style-transfer	4	0	0
605	kaonashi-tyc/rewrite	105	6	1
606	rayanelleuch/speed-accuracy-trade-offs-for-modern-convolutional-object-detectors	17	0	1
607	ryujaehun/alexnet	3	0	0
608	proofbyconstruction/texture-networks	6	1	0
609	aby2s/sharpmask	6	1	0
610	leerel1991/facealignment_tensorflow	14	0	1
611	jangsoopark/idn-tensorflow	0	0	0
612	lerrel/grasp-detector	10	0	0
613	jerryli27/twingan	60	2	1
614	udacity/carnd-semantic-segmentation	735	578	41
615	miguelmonteiro/crfasrnnlayer	10	0	0
616	dawars/squeezenet-tf	9	0	0
617	mohamedkeid/feed-forward-style-transfer	33	1	0
618	xiaofanglegoc/tensorflow-fcn	0	0	0
619	tramac/densevoxnet-tensorflow	4	0	0
620	mananrai/tensorflow-openpose	2	0	0
621	nnuyi/peleenet	16	1	0
622	cc-hpc-itwm/tensorquant	10	3	0
623	mlearing/tensorflow-mtcnn	0	0	0
624	pinto0309/tensorflow-enet	0	0	0
625	shinjayne/shintb	33	1	0
626	desimone/segmentation-models	10	0	0
627	altosaar/vimco_tf	2	0	0
628	arassadin/image-compression-benchmarking	15	0	0
629	zonghaofan/dilation-tensorflow	0	0	0
630	bethgelab/decompose	5	0	0
631	ibm/max-object-detector	23	3	0
632	kyubyong/sudoku	87	8	2
633	ling-bao/mscnn	18	2	0
634	kobiso/super-convergence-tensorflow-slim	0	0	0
635	hikapok/tf-senet	19	0	0
636	kejielyu/residual-attention-network	12	0	0
637	ksaito-ut/atda	5	0	0
638	feifeibear/distributed-resnet-tensorflow	4	0	0
639	sk1712/gcn_metric_learning	39	1	1
640	benbenlijie/style_transfer_tensorflow	0	0	0
641	hoya012/shake-shake-tensorflow	0	0	0
642	zhangqianhui/residual_image_learning_gan	8	0	0
643	jaywongwang/densevideocaptioning	22	3	1
644	eridgd/adain-tf	11	0	0
645	magical2world/tensorflow-tree-cnn	4	0	0
646	deworrall92/harmonicconvolutions	39	7	0
647	milliondegree/semantic-segmentation-tensorflow	6	0	0
648	mayuri0192/object-tracking-using-cnn-and-rnn	16	0	0
649	bgshih/vgg16.tf	0	0	0
650	min2209/dwt	52	4	0
651	coder3101/neural-style-transfer	0	0	0
652	halimacc/densehumanbodycorrespondences	10	0	0
653	murdockhou/multiposenet-tensorflow	4	1	0
654	mocr/ddpg	12	0	0
655	sirius-ai/mobilenetv2_tf	0	0	0
656	nnormandin/yellowfin_keras	3	0	0
657	swxhss/densenet_tensorflow	0	0	0
658	deep-diver/deepmodels	14	0	0
659	frankgu/3d-densenet	43	0	1
660	khushmeeet/squeezenet	4	0	0
661	djl11/pwc_net_tensorflow	4	0	0
662	dafanghe/tensorflow_scenetext_oriented_box_predictor	6	1	0
663	helloyide/cross-stitch-networks-for-multi-task-learning	15	0	0
664	anushuk/tensorflow-object-detection	0	0	0
665	infocom-tpo/tf-openpose	5	0	0
666	wzirui/guided-neural-style	6	0	0
667	rachit2403/easy-cut	1	0	0
668	tnikolla/robot-grasp-detection	35	1	4
669	lahirujayasinghe/rul-net	10	0	1
670	madrylab/mnist_challenge	68	8	0
671	chengbinjin/real-time-style-transfer	4	0	0
672	yudewang/fpn_semantic_segmentation	20	1	0
673	fastai/tf-fit	6	1	0
674	rostifar/nyudepthnet	15	0	0
675	mohamedkeid/texture-synthesis	10	0	0
676	paengs/net2net	17	0	1
677	wanzysky/fine-gained-classification	3	0	0
678	shafeentejani/style-transfer	14	1	0
679	ritchieng/numnum	19	0	1
680	yunzeman/ircnn	2	1	0
681	filippomb/reservoir-computing-framework-for-multivariate-time-series-classification	5	1	0
682	samuelzhouhe/poseguidedimggeneration	9	1	0
683	hfawaz/bigdata18	27	2	0
684	leekyungmoon/judging-a-book-by-its-cover	4	0	0
685	tencent/tencent-ml-images	407	10	1
686	enjia/spatial-regularization-network-in-tensorflow	2	0	0
687	wengong-jin/nips17-rexgen	19	0	1
688	rakutentech/stadv	9	0	0
689	yangxueruivs/dfsmn	11	1	1
690	leeyoshinari/yolo_tiny	6	0	0
691	ashwhall/dsnt	11	0	0
692	hikapok/groupnormalizationtf	2	0	0
693	sagieppel/fully-convolutional-neural-network-fcn-for-semantic-segmentation-tensorflow-implementation	30	3	0
694	shijx12/deepsim	5	0	0
695	gunshi/appearance-flow-tensorflow	1	0	0
696	jiny2001/deeply-recursive-cnn-tf	25	0	0
697	eigenpro/eigenpro2	6	0	0
698	danielzuegner/nettack	23	2	0
699	skydes/concrete-dropout	2	0	0
700	kozistr/awesome-segmentations	10	0	0
701	knowledgetechnologyuhh/emotionrecognitionbarros	1	0	0
702	wuyx/cnn---dslr-quality-photos-on-mobile-devices-with-deep-convolutional-networks	1	0	0
703	nilboy/colorization-tf	31	4	0
704	micmelesse/3d-reconstruction-with-neural-networks	27	0	0
705	yashkant/padam-tensorflow	4	1	0
706	tonychanbb/chinese_painting-style	7	0	0
707	chan-y-park/img2txt	5	0	0
708	lirongwu/doform_conv_tensorflow	7	0	0
709	dhruv-mohan/super_tf	0	0	0
710	yukunchen113/resnetcnn	1	0	0
711	uranusx86/random-erasing-tensorflow	0	0	0
712	tetianadadakova/mri-cnn	17	0	0
713	skaftenicki/ddtn	6	1	0
714	yanx27/yolo_tensorflow	0	0	0
715	cabinfeverb/rotationnet-tensorflow	0	0	0
716	chrisgundling/yolo_light	27	2	1
717	jiamings/fast-weights	21	0	0
718	towardsnorth/yolo_v1_tensorflow_guiyu	11	1	0
719	lantaoyu/residual-networks	11	0	0
720	miendinh/vietnameseocr	15	0	0
721	crazydemo/facial-attribute-classification-with-graph	2	0	0
722	zjucx/roseprisma	15	0	0
723	penny4860/weakly-supervised-text-detection	10	0	0
724	holyseven/transferlearningclassification	8	0	0
725	kaspermarstal/brainnet	9	0	0
726	pacocp/convolutional-neural-net-tutorial	0	0	0
727	kstaats/karoo_gp	48	6	0
728	mgoubran/meuralpaint	4	0	0
729	gcucurull/neural-art-transfer	5	1	1
730	dekhtiarjonathan/tensorflow-tensorlayer-zoo	1	1	0
731	machine-learning/inception-v3-tensorflow	0	0	0
732	aparav/artistic-style	0	0	0
733	ni9elf/qanet	14	1	0
734	tolstikhin/adagan	15	2	0
735	xjtuwyd/twn	2	0	0
736	hirokiyokoyama/tracking_via_colorizing	5	1	1
737	justin-tan/entropy-sgd-tf	1	0	0
738	jimeffry/ssh-tensorflow	0	0	0
739	whitehuai/faster-rcnn-tensorflow	0	0	0
740	compvis/adaptive-style-transfer	66	6	0
741	stonyshi/my_attention_ocr	2	0	0
742	dhzs/tf-deformable-conv-layer	7	0	0
743	edgelord/fractalnet	12	1	0
744	maple-research-lab/cappronet_tf	2	0	0
745	tkchris93/forwardthinking	22	1	1
746	sthalles/face-similarity	9	0	0
747	jasonlitw/simple-railway-captcha-solver	120	4	0
748	tensorlayer/adaptive-style-transfer	17	1	0
749	mirzaevinom/data_science_bowl_2018	48	3	0
750	wunderdogsw/tensorflow-image-classification-tutorial	3	0	0
751	jakebelew/gated-pixel-cnn	9	1	0
752	dojoteef/dvae	5	0	0
753	ftokarev/tf-adain	14	4	1
754	cutlass90/grad-cam-tensorflow	0	0	0
755	arberzela/imagenet32-tensorflow	1	0	0
756	dot27/temporal-tessellation	19	1	0
757	jinyanxu/resnet_cifar-10_tensorflow	0	0	0
758	xlmou/semantic-segmentation-tensorflow	1	0	0
759	cydonia999/grad-cam-in-tensorflow	2	0	0
760	wavce/refinedet_tf	3	0	0
761	nnuyi/srgan	13	1	2
762	versechow/segnet_tensorflow	0	0	0
763	zhyj3038/traffic_detection_yolo2	9	1	0
764	vainf/neural-style-transfer-gatys	0	0	0
765	google/ffn	57	13	2
766	lzane/siamfc-tf	8	1	0
767	mlearing/tensorflow-pyramidbox	0	0	0
768	mlearing/tensorflow-deeplab-v3	0	0	0
769	lapis-hong/wide-resdnn	9	0	0
770	geeklib/facenet	3	0	0
771	olekristensen/fast-style-transfer	1	0	0
772	sarslancs/graph_saliency_maps	4	0	0
773	markojerkic/tensorflow_style_transfer	1	0	0
774	jiangqh/style-transfer-in-tensorflow	1	0	0
775	ly-atdawn/show-and-tell	1	0	0
776	macwinwin/deep-model-transfer	23	0	0
777	markdtw/temperature-scaling-tensorflow	3	0	0
778	xingjunm/lid_adversarial_subspace_detection	26	6	0
779	mr-woeng/cifar-model-tensorflow	1	0	0
780	labsix/adversarial-logit-pairing-analysis	9	0	0
781	capslockor/mtcnn-tensorflow	0	0	0
782	cjratcliff/variational-dropout	2	0	0
783	loliverhennigh/ultrasound-nerve-segmentation-in-tensorflow	3	1	0
784	fullfanta/multimodal_transfer	5	0	0
785	tonitick/ar-cnn	2	0	0
786	lwchen6309/unsupervised-image-segmentation-by-wnet-with-normalizedcut	3	0	0
787	mohamedkeid/style-transfer-algorithm	6	0	0
788	daniel-ai/tf-style-transfer	1	0	0
789	dbusbridge/tf-best-practices	7	0	0
790	lzx551402/geodesc	19	1	0
791	rassibassi/claude	4	0	0
792	tropcomplique/light-head-rcnn	6	1	0
793	koichiro11/residual-attention-network	20	1	0
794	andersonjo/global-average-pooling	5	0	0
795	ruohanw/magan	5	1	0
796	akaraspt/deepsleepnet	50	2	2
797	demonfuneral/image-object-localization	15	0	0
798	junbinwang/tensorflow-style-transfer-with-adain	0	0	0
799	aichitudou/yolo_tensorflow_car	0	0	0
800	mlearing/tensorflow-yolo-v1	0	0	0
801	dengzelu/densenet-tensorflow-imagenet	1	0	0
802	zhyj3038/pymdnet	5	1	0
803	akshaybahadur21/autopilot	81	1	2
804	csehong/sspp-dan	10	1	0
805	hfawaz/dl-4-tsc	52	1	0
806	sunnerli/rir-tensorflow	1	0	0
807	conan7882/vgg-cifar-tf	4	1	0
808	automan000/deeplab_v1_tf1.0	0	0	0
809	sebasvega95/neural-style-transfer	3	0	0
810	episci/safeai	8	2	0
811	vladislavprh/mdr	4	1	0
812	hao-qiang/ganimation-tf	2	0	0
813	nnuyi/mobilenet_v2	1	0	0
814	vohoaiviet/r2cnn_fpn_tensorflow	0	0	0
815	yuanyuanli85/fashionai_keypoint_detection_challenge_keras	35	0	0
816	leeyoshinari/yolo_v1	5	0	0
817	hsddlz/faster-ctpn	35	0	0
818	lewuathe/tensorflow-styletransfer	0	0	0
819	kakugawa/metalcnnweights	9	1	2
820	johnnylu305/simple-does-it-weakly-supervised-instance-and-semantic-segmentation	5	0	0
821	michigancog/m-pact	11	0	0
822	softwaregift/mvsnet	3	0	0
823	sthalles/dense-net	9	0	0
824	mtreml/squeezenet	1	0	0
825	iwyoo/tf_conv_cosnorm	0	0	0
826	chshin10/epinet	13	2	0
827	browningwan/fast-neural-style-android-app	3	0	0
828	mks0601/tf-simplehumanpose	30	2	0
829	kleinyuan/tf-segmentation	1	0	0
830	superlich7/fasterrcnntf_icpr2018	7	0	0
831	gyiming/mobileslam	0	0	0
832	seokjuns/hide-and-seek-tensorflow	0	0	0
833	tegusi/rgcnn	2	0	0
834	alisure-ml/semantic-segmentation-dilatedconvolution	2	0	0
835	lyj8330328/object-detection	2	0	0
836	datlife/steering-model	1	0	0
837	johnmartinsson/bird-species-classification	11	0	0
838	watsonyanghx/resnet	0	0	0
839	hodgka/pixel-recursive-super-resolution	4	0	0
840	christiankaiser/segnet.tf	0	0	0
841	silburt/deepmoon	8	1	0
842	ishmav16/dual-cnn-models-for-unsupervised-monocular-depth-estimation	9	0	0
843	jinnovation/derain-net	2	0	0
844	daniel985/mobilenet4segmentation	5	0	0
845	tommoral/adaptiveoptim	7	0	0
846	lesliezhoa/tensorflow-yolo1	20	0	0
847	tchaton/deeplda	2	0	0
848	jhb86253817/tf-re-id	20	0	1
849	shakarim94/net-sure	3	0	0
850	nikhilmaram/show_and_tell	17	2	0
851	penny4860/kitti-road-semantic-segmentation	7	0	0
852	fensichen/faster-rcnn-tf	4	0	0
853	ywiyogo/squeezenet	0	0	0
854	yellowpig-zp/neural-style	0	0	0
855	creoin/tensorflow_cnn_fine-tuning	1	0	0
856	tongxyh/maskrcnn	1	0	0
857	qhan1028/fully-convolutional-networks	9	0	0
858	muyang0320/tf-fcn	1	0	0
859	imatge-upc/3d-gan-superresolution	17	0	0
860	srebuffi/icarl	37	4	1
861	hovinh/decnn	2	0	0
862	qiaohan/object_detection	0	0	0
863	wangxianliang/shufflenet_v2_tensorflow	3	0	0
864	zqdeeplearning/ssd-tf	1	0	0
865	alldbi/flm	1	0	0
866	rmkemker/earthmapper	21	0	3
867	pourabkarchaudhuri/unsupervised-clustering-faces-tensorflow	0	0	0
868	rongpeng-lin/pconv_in_tf	7	1	0
869	jpmcd/tensorflow-knowledgedistillation	0	0	0
870	jackie840129/texture_synthesis_with_tensorflow	2	0	0
871	selinafelton/lightfacenet	13	0	0
872	auroua/l_softmax_tensorflow	11	0	0
873	snehasinghania/stresnet	9	0	0
874	watersink/character-segmentation	4	0	0
875	shyamsn97/neuralstyletensorflow	0	0	0
876	breadbread1984/c3d	6	1	0
877	jaesik817/nips17_adv_attack	1	0	0
878	heartkilla/yolo-v3	11	2	0
879	bharat-rajani/object-detection-with-yolo-and-tensorflow	3	0	0
880	evtimovi/robust_physical_perturbations	10	1	0
881	kangxue/p2p-net	2	0	0
882	alisure-ml/capsnet	1	0	0
883	rickyhong/tensorflow-docu-reg-repl	0	0	0
884	adodd202/kaggle-statoil-challenge	1	0	0
885	jinyanxu/neural-aggregation-network-for-video-face-recognition	10	1	0
886	kshmelkov/incremental_detectors	8	0	0
887	kitsune999/optical-flow-guided-feature	9	0	0
888	pby5/tensorflow_object_tracking_video	4	0	0
889	marian-margeta/gait-recognition	77	2	0
890	hungsing92/canshi	3	0	0
891	phraust1612/cifar100challenge	1	0	0
892	hiwonjoon/tf-frrn	15	2	0
893	hzy46/faster-rcnn	5	0	0
894	liuhuiwisdom/object_detection	51	48	0
895	junshengfu/driving-behavioral-cloning	6	0	0
896	conan7882/neural-style-tf	1	0	0
897	olafenwamoses/idenprof	34	0	0
898	shenyuanyuan/imsat	3	0	0
899	zhuxinqimac/b-cnn	7	1	0
900	dubvulture/tensor_fcn	2	0	0
901	robotlocomotion/labelfusion	31	3	1
902	qq919056489/scencerecognition	0	0	0
903	google/differentiable-atomistic-potentials	1	0	0
904	keithyin/faster-rcnn_tfpy2	4	0	0
905	watersink/ocrsegment	10	0	2
906	humanity123/deep_image_styler	0	0	0
907	pfcm/sonnet-mobilenet	0	0	0
908	at553/tfdepth	2	0	0
909	roganinglis/matrixcapsuleswithemrouting	0	0	0
910	paulemmanuelsotir/nyc_taxitripduration	1	0	0
911	chengpengchen/tf-faster-rcnn-relation-module	1	0	0
912	skmhrk1209/ran	1	0	0
913	yuhui-lin/various_residual_networks	1	0	0
914	everfor/neural_artistic_style	0	0	0
915	alexhex7/capsnet_pytorch	2	0	0
916	zehaos/tfstn	5	0	0
917	aparnaakk/neural_style_transfer	0	0	0
918	qixuxiang/mask_rcnn_ros	14	0	1
919	spiglerg/tf_continuallearningviasynapticintelligence	4	0	0
920	evhart/crees	6	2	0
921	danzelmo/mobilenet	3	0	0
922	thensbhasin/dnn_object_detection	3	0	0
923	minhyungcho/riemannian-batch-normalization	3	0	0
924	mborgerding/onsager_deep_learning	19	3	0
925	atomu2014/product-nets-distributed	13	0	0
926	mm1860/densenet_fcn	2	0	0
927	yucicheung/adaptivereconnet	3	0	0
928	lynnho/resnet-tensorflow	1	0	0
929	vijayvee/video-captioning	39	1	0
930	b-schneller/semantic-segmentation-of-retinal-fundus-vasculature	8	0	0
931	ranchmobile/tamil-ai	4	0	0
932	preritj/show_attend_tell	1	0	0
933	kevindubon/steering_model	2	0	0
934	maestrojeong/wgan_gp	0	0	0
935	assassint2017/object-detection-using-deep-learning	0	0	0
936	seanpmorgan/tf-weightnorm	1	0	0
937	anubhav0fnu/synthetic-video-generation-for-autonomous-cars	2	1	0
938	corticph/mstmodel	3	0	0
939	andrewginns/deep-photo-styletransfer-tf_win	2	0	0
940	hoshino042/pointnet_re	0	0	0
941	fdarmon/yolo_adaptation	2	0	0
942	festa78/semseg_tf	0	0	0
943	ex4sperans/ssd	2	0	0
944	abajaj945/ship-detection-using-tensorflow	0	0	0
945	yuluntian/neural_artistic_style	1	0	0
946	noprom/facenet	0	0	0
947	guanfuchen/facenet	2	0	0
948	zengyu714/segmentation	11	0	0
949	changjo/coordconv	3	1	0
950	uscdatascience/img2text	15	8	0
951	irfanicmll/inceptionv2_finetune	0	0	0
952	tandon-a/squeezenet	2	0	0
953	kejie-wang/end-to-end-learning-for-self-driving-cars	10	0	0
954	yipenghu/label-reg	18	1	0
955	lovish1234/yolov1	4	0	0
956	mohamedramzy1/inception-implementation-with-tensorflow	0	0	0
957	logictensornetworks/logictensornetworks	9	0	1
958	lslcode/ssd_for_tensorflow	40	0	0
959	mlenthusiast/mhcln	7	0	0
960	jarvis73/group_normalization	0	0	0
961	agassi4013/log-densenet-tensorflow	0	0	0
962	guanfuchen/semseg	58	0	1
963	goldservice2017/face-detection	0	0	0
964	luoru/iresnet-tf	5	1	0
965	meowoodie/imitation-learning-for-point-process	2	0	0
966	mohit-ak/capsnet_notmnist_affnist	1	0	0
967	conan7882/fast-style-transfer-tf	0	0	0
968	zhaofan0622/tf-ssd-vehicledetection	2	0	0
969	vaibhavsaini1996/deep-learning-project	0	0	0
970	matanatz/pcnn	9	1	0
971	mjvogelsong/tf-neural-ram	0	0	0
972	ckboss/densenet	1	0	0
973	satyenrajpal/semantic-segmentation-u-net	1	0	0
974	wanjinchang/mtcnn_use_tf_e2e	0	0	0
975	wbaek/tracking_via_colorization	5	0	0
976	rebornhugo/facialattribution	0	0	0
977	yangjirui/gluon2tf	0	0	0
978	adammiltonbarker/inceptionflow	3	2	0
979	kuleshov/convolutional-draw	2	0	0
980	albertogaspar/tf-super_resolution	1	0	0
981	ibm/ead-attack	7	0	0
982	arakhmat/mnist-adversarial-image-generator	0	0	0
983	omerbsezer/neuralstyletransfer	1	0	0
984	visva89/varnetrecon	0	0	0
985	karthkk/fastrcnndetect	1	0	0
986	fengyoung/image_style_tf_py3	0	0	0
987	icml-mcbn/mcbn	9	0	0
988	eglrp/ssd_tensorflow_traffic_sign_detection	3	0	0
989	rlaehgns5399/googlenet-inception-tf	0	0	0
990	datlife/faceid	1	0	0
991	perslev/autofocus-layer-tf	2	0	0
992	tavgreen/image_classification_of_simpsons_dataset	2	0	0
993	sahibdhanjal/mask-rcnn-pedestrian-detection	7	2	0
994	ppooiiuuyh/arcnn-fast	1	0	0
995	wdczs/improvedorn	1	0	0
996	xiaofengshi/capsnet_notmnist_affnist	1	0	0
997	caomw/tensorseg	1	0	0
998	pisimo/picamnn	31	1	0
999	jalajthanaki/real_time_object_detection_with_yolo	4	0	0
1000	zj10/nd-adam	0	0	0
1001	wwjwhen/watch-attend-and-parse-tensorflow-version	10	2	0
1002	bioimageinformatics/tfmodels	2	0	0
1003	ioanachelu/neural-art	0	0	0
1004	msokoloff1/real-time-style-transfer	0	0	0
1005	richmondu/libfaceid	38	0	1
1006	kongsea/fpn_tensorflow	17	0	0
1007	davidzengming/mnistevol	0	0	0
1008	ameroyer/pic	2	0	0
1009	tylersco/adapted_deep_embeddings	6	1	0
1010	cjratcliff/adaptive-regularization	1	0	0
1011	drogen120/oneshottexturesegmentation	1	0	0
1012	peace195/multi-column-deep-convolutional-neural-networks	0	0	0
1013	ivclab/agegenderlmtcnn	2	0	0
1014	mangate/elu_network	1	0	0
1015	zoli333/weight-normalization	2	0	0
1016	ozgyal/noise-layer-implemantation-on-alexnet	0	0	0
1017	pjunhyuk/inception-v3-cifar10	0	0	0
1018	nicolefinnie/darkellie	0	0	0
1019	hoangtrinh/vehicle_reid_using_fusion_of_multi_features	2	0	0
1020	apennisi/faster_rcnn	0	0	0
1021	jiangqh/dense-pixel-models-in-tensorflow	0	0	0
1022	ranjiewwen/tf_enhancedped	0	0	0
1023	yueruchen/resnet	0	0	0
1024	ly-atdawn/lightcnn-gluon	1	0	0
1025	molyswu/hand_detection	16	0	0
1026	siju-samuel/darkflow-yolo	0	0	0
1027	sagieppel/focusing-attention-of-fully-convolutional-neural-networks-on-region-of-interest-roi-input-map-	9	0	0
1028	garkp/luna16_challange	9	0	0
1029	jiweibo/svhn-multi-digit-recognition	4	0	0
1030	yuyakanemoto/neural-style-loss	0	0	0
1031	zhouilu/arm_tensorflow	0	0	0
1032	tejaslodaya/neural-style-transfer	5	0	0
1033	lzhengchun/deep-image-prior-tensorflow	1	0	0
1034	tomasreimers/tensorflow-graph-compression	5	0	0
1035	mingtaoguo/real-time-arbitrary-style-transfer-adain-tensorflow	1	0	0
1036	csnick93/weaklysupervisedlearning	0	0	0
1037	wei2624/feature_embed_googlenet	0	0	0
1038	tedyun/capsnet	0	0	0
1039	zhengyu-li/deep-network-compression-based-on-student-teacher-network-	3	0	0
1040	riga/lbn	0	0	0
1041	askmuhsin/semantic-seg-drivable-path	0	0	0
1042	cyh1112/vgg-transfer-learning	0	0	0
1043	human-analysis/tensorflownet	0	0	0
1044	bhairavmehta95/option-critic	0	0	0
1045	zjuzq/learn_openpose_tf	0	0	0
1046	wei2624/deep-metric-learning-in-tf	1	0	0
1047	yanx27/fast-style-transfer-tensorflow	1	0	0
1048	ash80/ordinal-pooling-networks	0	0	0
1049	ctuning/ck-tensorflow	16	5	0
1050	deeplearningt/targetdetection_faster-rcnn_tf	0	0	0
1051	juciny/tfpose	0	0	0
1052	dlforlife/retinanet	3	0	0
1053	seonbeomkim/tensorflow-image-style-transfer	0	0	0
1054	mackcmillion/reslearn	0	0	0
1055	tanukkii007/wavenet	1	0	0
1056	lartpang/mynet	2	1	0
1057	mengqingmeng/facenet	1	0	0
1058	ramakrv/facenet	0	0	0
1059	rtsaad/carnd-semantic-segmentation	0	0	0
1060	kjanjua26/custom_east	0	0	0
1061	ppaga/srgan	0	0	0
1062	soldie/webcam-face-recognition-using-tensorflow-and-opencv	1	0	0
1063	vvigilante/mobilenet_v2_keras	0	0	0
1064	robileo/ladder_network	2	0	0
1065	ftokarev/tf-neural-style	0	0	0
1066	ibm/clever-robustness-score	8	1	0
1067	piyush2896/neural-style-transfer	1	0	0
1068	sjoerdvansteenkiste/binding-tf	0	0	0
1069	nirmorgo/style-transferer	1	0	0
1070	bhneo/capsnet-experiments	0	0	0
1071	dopexxx/facepeeper	1	0	0
1072	amicks/speculator	26	0	0
1073	griffin-han/neural-style-transfer	0	0	0
1074	adler-j/wasserstein_inverse_problems	4	0	1
1075	mingjiang1988/ocr_dl	4	0	0
1076	xinxinmiao/sensitive_facenet	0	0	0
1077	adrz/movie-posters-convnet	1	0	0
1078	yuto3o/tf-crowdcounting	0	0	0
1079	face-recognition-rkb/facenet_explore	1	0	0
1080	magmatart/tf-domain-transfer-network	0	0	0
1081	alexhex7/faster_r-cnn_pytorch	0	0	0
1082	deep-diver/vgg	0	0	0
1083	msokoloff1/neural-art	0	0	0
1084	blanyal/neural-style	1	0	0
1085	georgesung/behavioral_cloning	7	0	0
1086	hanfeisun/unsupervised-typography-transfer	3	0	0
1087	qnfnwkd/deeppim	1	0	0
1088	saduf/ncs-challenge-submission	0	0	0
1089	festa78/objdet-tf	0	0	0
1090	wuyx/faster-rcnn	0	0	0
1091	wolfapple/carnd-behavioral-cloning-project	5	0	2
1092	sainandan-ramakrishnan/rich-image-captioning-using-attention	0	0	0
1093	rahul411/image-captioning-using-attention	0	0	0
1094	nathanin/tfmodels	0	0	0
1095	leconteur/captionimaging	0	0	0
1096	qq456cvb/collaborative-learning	0	0	0
1097	ibm/max-image-completer	7	1	0
1098	aminsaied/cornetto	0	0	0
1099	juiceleee/generative_adversarial_networks	0	0	0
1100	priteshgudge/dl-style-transfer	0	0	0
1101	yuexiajiao/faster-rcnn	0	0	0
1102	wuyx/insightface_	0	0	0
1103	anicolson/deepxi	16	1	0
1104	broadinstitute/signatureanalyzer-gpu	5	1	0
1105	ajayaraman/carnd-semanticsegmentation	0	0	0
1106	amiithinks/amii-tf-nn	1	0	0
1107	wuyx/insightface_tf.	0	0	0
1108	natvo/ins_face_tf	0	0	0
1109	deeplearnphysics/dynamic-gcnn	5	0	0
1110	sjentzsch/tf_vision	1	0	0
1111	lawliet1718/https-github.com-smallcorgi-faster-rcnn_tf	0	0	0
1112	balena-io-playground/movidius-rpi3-demo	3	0	0
1113	tlokeshkumar/dbpn-tf	2	0	0
1114	afagarap/multilayer-perceptron	2	1	0
1115	agoncharenko1992/fat-fast_adjustable_threshold	3	0	0
1116	keng000/text_detection_ctpn	0	0	0
1117	eyalzk/style_transfer	0	0	0
1118	yash9060/vigilancia	2	1	2
1119	bluedistro/face-recognition	1	0	0
1120	david-cortes/cmfrec	11	1	0
1121	seonbeomkim/tensorflow-matching_networks_for_one_shot_learning	2	0	0
1122	alisure-ml/object-detection-ssd	0	0	0
1123	zhwhong/magic-pixel	1	0	0
1124	jeffrey-ede/electron-micrograph-denoiser	0	0	0
1125	noxouille/rt-mrcnn	6	0	0
1126	iotjumpway/inceptionflow	0	0	0
1127	alexhagiopol/end-to-end-deep-learning	13	0	0
1128	blasphemyangels/imagecaption	1	0	0
1129	wuyx/mobilefacenet_tf	0	0	0
1130	hms-idac/unet	1	0	0
1131	israelabebe/plant_disease_detection	0	0	0
1132	will-j-gale/gta5-self-driving-car	1	0	0
1133	scottypate/sand-cnn	0	0	0
1134	you-leee/deep-nn-examples	0	0	0
1135	ruiqigao/deformablegenerator	0	0	0
1136	clutariomark/convneuralnetwork	2	0	0
1137	jakobwong/stereomagnification	1	0	0
1138	erdiaker/resnet	0	0	0
1139	murdockhou/lightweight_openpose	23	2	0
1140	arodiss/capsnet	0	0	0
1141	jack-dong/none_local_block	4	0	0
1142	ami66/new-text-detection-ctpn	20	0	0
1143	paulfitz/segmenty	1	0	0
1144	keillernogueira/fdsi	5	0	0
1145	yaonaiming/text-detection-ctpn-win	3	1	0
1146	amr4i/emotiondetection	1	0	0
1147	mohammed-elkomy/two-stream-action-recognition	7	1	0
1148	luckythj/style-transfer	0	0	0
1149	prajjwal1/neural-style	1	0	1
1150	pancakeawesome/scenetext_detection	2	0	0
1151	itisianlee/hourglass-tfslim	1	0	0
1152	tropcomplique/universal-style-transfer	0	0	0
1153	sagieppel/recognition-of-materials-in-transparent-vessel-using-fully-convolutional-neural-networks	0	0	0
1154	ibm/imagenet-robustness	1	0	0
1155	shoumo95/csx4337-project	1	0	0
1156	krushnaarengarajan/deepchem	0	0	0
1157	dikatok/tf-styletransfer-gatys	0	0	0
1158	xhelenfu/cnn_segmentation_histology	0	0	0
1159	ttitcombe/tfshell	0	0	0
1160	srk97/targeted-adversarial-mnist	1	0	0
1161	wuliangshun/ctpn	0	0	0
1162	wangyida/gm-cml	4	0	0
1163	jason-xi/ctpn_win	0	0	0
1164	markvdw/gpflow-inter-domain	3	0	0
1165	bw2color/bw2color	4	2	0
1166	ciciphus/pixel_link_keras	0	0	0
1167	longhuei/caesar	1	0	0
1168	abhisek-/alexnet	11	0	0
1169	kingdavid72/deepchem	0	0	0
1170	lilleswing/deepchem-slim	0	0	0
1171	tropcomplique/edanet	2	0	0
1172	jessevig/bertviz	106	12	0
1173	cysmith/neural-style-tf	584	27	12
