	github_urls	creation_date	stars	num_contributors	num_commits
0	endernewton/tf-faster-rcnn	2017-01-23T19:51:32Z	3338	13	318
1	charlesq34/pointnet2	2017-08-31T03:18:54Z	1576	3	51
2	tkarras/progressive_growing_of_gans	2017-10-27T09:04:34Z	5131	1	33
3	tkipf/gcn	2016-11-11T10:59:21Z	4504	9	30
4	bichenwuucb/squeezedet	2016-12-09T04:09:14Z	713	2	60
5	marvinteichmann/kittiseg	2016-04-21T22:03:07Z	852	4	157
6	tensorflow/ranking	2018-12-03T20:48:57Z	1649	16	51
7	yixuanli/densenet-tensorflow	2016-09-22T14:52:49Z	575	3	47
8	hellochick/semantic-segmentation-tensorflow	2018-01-24T12:19:09Z	74	2	23
9	anishathalye/neural-style	2015-11-21T23:40:00Z	5147	14	83
10	visualcomputinginstitute/triplet-reid	2017-03-20T14:39:40Z	642	5	43
11	openai/pixel-cnn	2016-07-09T00:44:56Z	1648	9	68
12	marvinteichmann/multinet	2016-08-29T01:27:54Z	448	5	52
13	msiam/tfsegmentation	2017-07-29T17:22:33Z	539	3	519
14	aligholami/simpnet-tensorflow	2018-08-20T08:31:37Z	15	1	157
15	iro-cp/fcrn-depthprediction	2016-08-02T10:22:13Z	873	3	14
16	davidsandberg/facenet	2016-02-12T22:14:40Z	10489	28	566
17	michschli/relationprediction	2016-09-09T11:34:37Z	200	1	98
18	google/youtube-8m	2016-12-20T21:49:38Z	1893	25	339
19	deepmind/kinetics-i3d	2017-08-02T12:23:13Z	1159	1	3
20	marvinteichmann/kittibox	2016-08-11T19:28:13Z	384	3	112
21	jiahuiyu/wdsr_ntire2018	2018-03-29T19:34:17Z	519	2	19
22	iboing/cliquenet	2018-02-28T05:02:46Z	321	3	72
23	bichenwuucb/squeezeseg	2017-12-06T22:18:53Z	420	1	46
24	roimehrez/contextualloss	2018-02-05T10:06:39Z	347	1	27
25	simonmeister/unflow	2017-12-02T13:18:16Z	217	1	34
26	mikacuy/pointnetvlad	2018-03-16T15:31:04Z	181	1	37
27	naturomics/capsnet-tensorflow	2017-10-28T04:20:36Z	3673	8	148
28	nwojke/deep_sort	2017-02-04T13:17:42Z	2076	5	34
29	ry/tensorflow-resnet	2015-12-18T19:03:22Z	1516	1	60
30	djangogo/pose-tensorflow-annot	2017-05-03T14:04:46Z	5	1	4
31	charlesq34/pointnet	2017-01-31T04:50:28Z	2618	3	40
32	gy20073/bdd_driving_model	2017-04-09T23:47:14Z	193	2	59
33	astorfi/3d-convolutional-speaker-recognition	2017-06-18T23:13:18Z	634	1	87
34	mvig-sjtu/pointsift	2018-07-01T13:35:43Z	510	1	5
35	una-dinosauria/3d-pose-baseline	2017-04-20T23:05:16Z	865	1	22
36	lucassheng/avatar-net	2018-04-22T16:59:58Z	129	1	51
37	charlesq34/frustum-pointnets	2018-04-05T16:56:45Z	969	1	44
38	czhu95/ternarynet	2017-01-13T04:16:49Z	103	1	8
39	chenyilun95/tf-cpn	2018-03-20T14:56:11Z	714	2	58
40	cuguilke/microexpnet	2017-11-17T14:42:32Z	92	2	66
41	mrharicot/monodepth	2017-04-11T16:22:11Z	1568	4	33
42	fengju514/face-pose-net	2017-08-19T00:33:21Z	435	3	119
43	taokong/ron	2017-07-03T04:22:37Z	365	2	32
44	lengstrom/fast-style-transfer	2016-07-21T02:59:11Z	9004	13	54
45	robinatp/deeplab_tensorflow	2018-06-15T07:32:18Z	2	1	3
46	ckmarkoh/neuralart_tensorflow	2015-12-02T02:52:19Z	479	1	7
47	olgatias/icnet-tensorflow	2018-10-29T15:52:28Z	4	1	2
48	nyukat/birads_classifier	2018-06-08T15:55:19Z	84	1	1
49	yanbeic/deep-association-learning	2018-08-21T11:46:15Z	60	1	11
50	arslan-chaudhry/dcsp_segmentation	2017-07-14T15:57:28Z	33	1	7
51	prbonn/bonnet	2018-01-11T12:29:14Z	250	3	44
52	pomonam/learnablepoolingmethods	2018-05-31T13:56:21Z	39	3	364
53	yang7879/3d-recgan	2017-08-21T14:45:49Z	104	1	24
54	zemofreedom/psmnet-tensorflow	2018-08-30T02:59:53Z	21	1	4
55	guesswhatgame/guesswhat	2017-06-07T12:19:47Z	58	3	147
56	moabitcoin/holy-edge	2017-07-02T07:43:06Z	231	1	54
57	huangshiyu13/rpnplus	2017-03-06T08:12:13Z	190	3	36
58	aditya12agd5/divcolor	2017-04-20T05:46:49Z	18	1	22
59	makalo/cornernet	2018-10-05T18:24:40Z	115	1	6
60	yang7879/3d-recgan-extended	2018-01-30T16:36:38Z	81	1	47
61	pyun-ram/fl3d	2018-09-11T00:59:53Z	70	1	9
62	sheryl-ai/mvgcn	2018-03-12T22:35:15Z	70	1	69
63	yoyo000/mvsnet	2018-07-04T06:20:01Z	632	3	43
64	congweilin/cluster-loss-tensorflow	2017-11-19T16:01:41Z	29	1	34
65	btjhjeon/imm_tensorflow	2017-12-15T04:12:37Z	20	1	11
66	vlogroup/mri-variationalnetwork	2018-06-17T15:51:15Z	68	1	1
67	angusg/cleverhans-attacking-bnns	2017-12-12T14:22:26Z	17	1	4
68	qixuxiang/deeplabv3plus	2018-03-18T03:33:20Z	44	1	3
69	baumgach/acdc_segmenter	2017-06-13T10:13:07Z	40	3	63
70	seasonsh/docface	2018-05-14T17:15:47Z	253	2	23
71	gidobot/silhonet	2018-10-18T17:01:42Z	28	1	11
72	maggie0106/graph-cnn-in-3d-point-cloud-classification	2017-11-13T19:38:17Z	179	1	57
73	fengju514/expression-net	2018-01-29T06:50:53Z	390	3	81
74	guanghan/rolo	2016-07-22T00:43:08Z	774	1	10
75	tum-vision/learn_prox_ops	2017-07-28T14:09:03Z	25	2	19
76	imatge-upc/liverseg-2017-nipsws	2017-08-13T16:00:25Z	74	2	49
77	chenxi116/pnasnet.tf	2018-07-06T05:00:42Z	101	1	8
78	thtrieu/darkflow	2016-08-16T05:54:02Z	5494	27	542
79	tobiasgruening/aru-net	2017-12-07T07:46:19Z	97	1	34
80	rick-chang/onenet	2017-05-05T18:47:19Z	69	1	4
81	mathildor/deeplab-v3	2018-03-27T13:19:48Z	19	2	5
82	thu-ml/stochastic_gcn	2018-01-08T05:50:01Z	62	3	150
83	chengpengchen/tf-faster-rcnn-multi-img	2018-04-13T10:09:04Z	2	14	327
84	deeplearnphysics/faster-rcnn	2017-10-09T15:37:08Z	9	2	2
85	parisots/population-gcn	2017-04-28T15:08:13Z	63	2	10
86	bryanplummer/cite	2017-11-22T14:54:14Z	34	1	9
87	tegg89/srcnn-tensorflow	2016-12-05T11:21:29Z	435	1	40
88	jmiller656/edsr-tensorflow	2017-07-22T17:10:18Z	298	3	35
89	shubhomoydas/ad_examples	2017-11-03T16:30:18Z	524	3	444
90	ssydasheng/neural-kernel-network	2017-10-28T01:54:14Z	62	1	2
91	ogroth/shapestacks	2018-04-19T15:08:45Z	30	3	38
92	abewley/sort	2016-02-03T03:16:23Z	1555	2	30
